Page,District_Name,Issuer,Investment_Amount
9,Alabama 1st,MOBILE ALA INDL DEV BRD INDL REV,4235000
9,Alabama 1st,ANDALUSIA ALA UTILS BRD UTIL REV,4160000
9,Alabama 1st,BALDWIN CNTY ALA EMERGENCY COMMUNICATIONS DIST REV,3945000
9,Alabama 1st,ASHFORD ALA,3905000
9,Alabama 1st,SATSUMA ALA,3705000
9,Alabama 1st,HENRY CNTY ALA ST GASOLINE TAX ANTIC WTS,2730000
9,Alabama 1st,HEADLAND ALA WTR & SWR REV,2310000
9,Alabama 1st,HEADLAND ALA,1800000
9,Alabama 1st,FOLEY ALA,1770000
9,Alabama 1st,GENEVA ALA PUB BLDG AUTH REV,1725000
9,Alabama 1st,ELBERTA ALA,1720000
9,Alabama 1st,DALE CNTY ALA,1570000
9,Alabama 1st,TAYLOR ALA,1465000
9,Alabama 1st,FLORALA ALA,1420000
9,Alabama 1st,COTTONWOOD TOWN ALA,1220000
9,Alabama 1st,WEBB ALA,1200000
9,Alabama 1st,COLUMBIA ALA,1125000
9,Alabama 1st,SLOCOMB ALA,1040000
9,Alabama 1st,EAST BREWTON ALA,915000
9,Alabama 1st,COTTONWOOD TOWN ALA WTR & SWR REV,780000
9,Alabama 1st,SUMMERDALE ALA,525000
9,Alabama 1st,GENEVA CNTY ALA SPL ST GASOLINE TAX ANTIC WTS,475000
9,Alabama 1st,MIDLAND CITY ALA,245000
12,Alabama 2nd,BLACK BELT ENERGY GAS DIST ALA GAS PROJ REV,6259255000
12,Alabama 2nd,SOUTHEAST ENERGY AUTH COMMODITY SUPPLY REV ALA,2904965000
12,Alabama 2nd,ENERGY SOUTHEAST ALA COOP DIST ENERGY SUPPLY REV,2022760000
12,Alabama 2nd,SOUTHEAST ALA GAS SUPPLY DIST GAS SUPPLY REV,1572865000
12,Alabama 2nd,ALABAMA ST PUB SCH & COLLEGE AUTH,1533365000
12,Alabama 2nd,LOWER ALA GAS DIST GAS PROJ REV,1217770000
12,Alabama 2nd,BLACK BELT ENERGY GAS DIST ALA GAS SUPPLY REV,1053455000
12,Alabama 2nd,ALABAMA FED AID HWY FIN AUTH SPL OBLIG REV,638215000
12,Alabama 2nd,AUBURN UNIV ALA GEN FEE REV,547665000
12,Alabama 2nd,ALABAMA ST CORRECTIONS INSTN FIN AUTH REV,450610000
12,Alabama 2nd,MOBILE ALA INDL DEV BRD POLLUTN CTL REV,419500000
12,Alabama 2nd,ALABAMA ST,388180000
12,Alabama 2nd,UNIVERSITY SOUTH ALA UNIV REVS,373275000
12,Alabama 2nd,BLACK BELT ENERGY GAS DIST ALA GAS PREPAY REV,285370000
12,Alabama 2nd,ALABAMA HSG FIN AUTH SINGLE FAMILY MTG REV,260000000
12,Alabama 2nd,COLUMBIA ALA INDL DEV BRD POLLUTN CTL REV,254000000
12,Alabama 2nd,INFIRMARY HEALTH SYS SPL CARE FACS FING AUTH MO...,188570000
12,Alabama 2nd,HEALTH CARE AUTH FOR BAPTIST HEALTH ALA,174910000
12,Alabama 2nd,WEST JEFFERSON ALA INDL DEV BRD POLLUTN CTL REV,174580000
12,Alabama 2nd,PIKE ROAD ALA,167345000
12,Alabama 2nd,MOBILE CNTY ALA BRD SCH COMMRS SPL TAX SCH WTS,160965000
12,Alabama 2nd,MOBILE CNTY ALA,150520000
12,Alabama 2nd,MONTGOMERY ALA WTRWKS & SAN SWR BRD WTR & SWR S...,140170000
12,Alabama 2nd,MONTGOMERY ALA,139175000
12,Alabama 2nd,MONTGOMERY ALA BMC SPL CARE FACS FING AUTH REV,131800000
12,Alabama 2nd,TROY UNIV ALA FACS REV,113220000
12,Alabama 2nd,WEST JEFFERSON ALA INDL DEV BRD SOLID WASTE DIS...,98000000
12,Alabama 2nd,WALKER CNTY ALA ECONOMIC & INDL DEV AUTH SOLID ...,88000000
12,Alabama 2nd,ALABAMA SPL CARE FACS FING AUTH MOBILE REV,87795000
12,Alabama 2nd,MOBILE CNTY ALA BRD SCH COMMRS,86885000
12,Alabama 2nd,ALABAMA ST HWY FIN CORP SPL OBLIG REV,85230000
12,Alabama 2nd,PELL CITY ALA SPL CARE FACS FING AUTH REV,83210000
12,Alabama 2nd,ALABAMA ECONOMIC SETTLEMENT AUTH BP SETTLEMENT REV,80925000
12,Alabama 2nd,ALABAMA SPL CARE FACS FING AUTH BIRMINGHAM REV,73075000
12,Alabama 2nd,MOBILE ALA,64310000
12,Alabama 2nd,ALABAMA ST PUB HEALTH CARE AUTH LEASE REV,63285000
12,Alabama 2nd,MONTGOMERY ALA MED CLINIC BRD HEALTH CARE FAC REV,59935000
12,Alabama 2nd,PRICHARD ALA WTRWKS & SWR BRD WTR & SWR REV,53035000
13,Alabama 2nd,MOBILE ALA SPRING HILL COLLEGE EDL BLDG AUTH HI...,49280000
13,Alabama 2nd,PHENIX CITY ALA,36825000
13,Alabama 2nd,HOUSTON CNTY ALA HEALTH CARE AUTH,36600000
13,Alabama 2nd,PHENIX CITY ALA WTR & SWR REV,35420000
13,Alabama 2nd,MOBILE ALA SPRING HILL COLLEGE EDL BLDG AUTH REV,35000000
13,Alabama 2nd,PHENIX CITY ALA BRD ED SCH TAX WTS,34385000
13,Alabama 2nd,UNIVERSITY MONTEVALLO ALA REVS,33885000
13,Alabama 2nd,CHATOM ALA INDL DEV BRD GULF OPPORTUNITY ZONE,32345000
13,Alabama 2nd,MONTGOMERY ALA EDL BLDG AUTH HIGHER ED REV,28255000
13,Alabama 2nd,MOBILE ALA INDL DEV BRD SOLID WASTE DISP REV,25500000
13,Alabama 2nd,MACON CNTY ALA BRD ED CAP OUTLAY SCH WTS,25415000
13,Alabama 2nd,MOBILE CNTY ALA LTD OBLIG,25265000
13,Alabama 2nd,MONTGOMERY CNTY ALA,23850000
13,Alabama 2nd,TROY ALA ELEC WTR & SWR REV,23225000
13,Alabama 2nd,CLARKE & MOBILE CNTYS ALA GAS DIST GAS REV,21190000
13,Alabama 2nd,CHATOM ALA INDL DEV BRD REV,20715000
13,Alabama 2nd,SARALAND ALA CITY BRD ED SCH TAX WTS,20225000
13,Alabama 2nd,TROY ALA,18620000
13,Alabama 2nd,TROY ALA CITY BRD ED SCH TAX WTS,17480000
13,Alabama 2nd,CRENSHAW CNTY ALA,17245000
13,Alabama 2nd,MOBILE ALA IMPT DIST SALES TAX REV,15225000
13,Alabama 2nd,GREENVILLE ALA PUB IMPT COOP DIST PUB IMPT REV,13845000
13,Alabama 2nd,BUTLER CNTY ALA BRD ED CAP OUTLAY SCH WTS,13520000
13,Alabama 2nd,MOBILE ALA SECOND MED CLINIC BRD FIRST MTG REV,13234846
13,Alabama 2nd,CLARKE CNTY ALA BRD ED WTS,12875000
13,Alabama 2nd,ALABAMA HSG FIN AUTH MULTIFAMILY REV,11800000
13,Alabama 2nd,ALABAMA HSG FIN AUTH MULTI FAM HSG REV,11750000
13,Alabama 2nd,ALABAMA INCENTIVES FING AUTH SPL OBLIG,11750000
13,Alabama 2nd,EUFAULA ALA,11370000
13,Alabama 2nd,EUTAW ALA INDL DEV BRD POLLUTN CTL REV,9700000
13,Alabama 2nd,TROY ALA HOSP HEALTH CARE AUTH LTD OBLIG REV,9645000
13,Alabama 2nd,EVERGREEN-CONECUH CAP IMPT COOP DIST ALA REV,8365000
13,Alabama 2nd,MONROE CNTY ALA BRD ED SPL TAX SCH WTS,8310000
13,Alabama 2nd,ALTAPOINTE HEALTH SYS INC ALA,8230000
13,Alabama 2nd,BUTLER CNTY ALA,7540000
13,Alabama 2nd,MONTGOMERY ALA ARPT AUTH ARPT REV,7520000
13,Alabama 2nd,CLARKE CNTY ALA,7245000
